Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
On the Need for Data-Based Model-Driven Engineering,Security and Quality in Cyber-Physical Systems Engineering,,,,10.1007/978-3-030-25312-7_5,Alexandra MazakSabine WolnyManuel Wimmer,2019,https://link.springer.com/chapter/10.1007/978-3-030-25312-7_5,Chapter
“Go Beyond 4.0” Lighthouse Project,Digital Transformation,,,,10.1007/978-3-662-58134-6_13,Thomas Otto,2019,https://link.springer.com/chapter/10.1007/978-3-662-58134-6_13,Chapter
Template-based AADL automatic code generation,Frontiers of Computer Science,,,,10.1007/s11704-017-6477-y,Kai HuZhangbo DuanJiye WangLingchao GaoLihong Shang,2019,https://link.springer.com/article/10.1007/s11704-017-6477-y,Article
Realization,Contextual Process Digitalization,,,,10.1007/978-3-030-38300-8_7,Albert FleischmannStefan OpplWerner SchmidtChristian Stary,2020,https://link.springer.com/chapter/10.1007/978-3-030-38300-8_7,Chapter
Execution-Based Model Profiling,Data-Driven Process Discovery and Analysis,,,,10.1007/978-3-319-74161-1_3,Alexandra MazakManuel WimmerPolina Patsuk-Bösch,2018,https://link.springer.com/chapter/10.1007/978-3-319-74161-1_3,Conference paper
Mechanism Design of Human-Like HRP-4C,Humanoid Robotics: A Reference,,,,10.1007/978-94-007-6046-2_92,Shuuji Kajita,2019,https://link.springer.com/rwe/10.1007/978-94-007-6046-2_92,Reference work entry
SMT-Based Bounded Schedulability Analysis of the Clock Constraint Specification Language,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-16722-6_4,Min ZhangFu SongFrédéric MalletXiaohong Chen,2019,https://link.springer.com/chapter/10.1007/978-3-030-16722-6_4,Conference paper
Pragmatic reuse for DSML development,Software and Systems Modeling,,,,10.1007/s10270-020-00831-4,Stefan KlikovitsDidier Buchs,2020,https://link.springer.com/article/10.1007/s10270-020-00831-4,Article
Stream Processing Languages and Abstractions,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-77525-8_260,Martin HirzelGuillaume Baudart,2019,https://link.springer.com/rwe/10.1007/978-3-319-77525-8_260,Reference work entry
Maintaining Separation of Concerns Through Task Oriented Software Development,Trends in Functional Programming,,,,10.1007/978-3-319-89719-6_2,Jurriën StutterheimPeter AchtenRinus Plasmeijer,2018,https://link.springer.com/chapter/10.1007/978-3-319-89719-6_2,Conference paper
Zohar Manna (1939–2018),Formal Aspects of Computing,,,,10.1007/s00165-019-00500-4,Nachum DershowitzRichard Waldinger,2019,https://link.springer.com/article/10.1007/s00165-019-00500-4,Article
Understanding large-scale software systems – structure and flows,Empirical Software Engineering,,,,10.1007/s10664-021-09938-8,Omer LevyDror G. Feitelson,2021,https://link.springer.com/article/10.1007/s10664-021-09938-8,Article
Slicing from formal semantics: Chisel—a tool for generic program slicing,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-018-0500-y,Irina Măriuca AsăvoaeMihail AsăvoaeAdrián Riesco,2018,https://link.springer.com/article/10.1007/s10009-018-0500-y,Article
Are Synchronous Programs Logic Programs?,Principled Software Development,,,,10.1007/978-3-319-98047-8_16,Klaus SchneiderMarc Dahlem,2018,https://link.springer.com/chapter/10.1007/978-3-319-98047-8_16,Chapter
Embedding CCSL into Dynamic Logic: A Logical Approach for the Verification of CCSL Specifications,Formal Techniques for Safety-Critical Systems,,,,10.1007/978-3-030-12988-0_7,Yuanrui ZhangHengyang WuYixiang ChenFrédéric Mallet,2019,https://link.springer.com/chapter/10.1007/978-3-030-12988-0_7,Conference paper
Quartz: A Synchronous Language for Model-Based Design of Reactive Embedded Systems,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7267-9_3,Klaus SchneiderJens Brandt,2017,https://link.springer.com/rwe/10.1007/978-94-017-7267-9_3,Reference work entry
Recovery Preparation,Software Design for Resilient Computer Systems,,,,10.1007/978-3-030-21244-5_8,Igor SchagaevEugene ZouevKaegi Thomas,2020,https://link.springer.com/chapter/10.1007/978-3-030-21244-5_8,Chapter
The 2020 Expert Survey on Formal Methods,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-58298-2_1,Hubert GaravelMaurice H. ter BeekJaco van de Pol,2020,https://link.springer.com/chapter/10.1007/978-3-030-58298-2_1,Conference paper
Software Abstractions and Human-Cyber-Physical Systems Architecture Modelling,Engineering Trustworthy Software Systems,,,,10.1007/978-3-030-55089-9_5,Zhiming LiuJonathan P. BowenBo LiuShmuel TyszberowiczTingting Zhang,2020,https://link.springer.com/chapter/10.1007/978-3-030-55089-9_5,Conference paper
Quality-Aware Reactive Programming for the Internet of Things,Fundamentals of Software Engineering,,,,10.1007/978-3-319-68972-2_12,José ProençaCarlos Baquero,2017,https://link.springer.com/chapter/10.1007/978-3-319-68972-2_12,Conference paper
Probabilistic Semantics for RoboChart,Unifying Theories of Programming,,,,10.1007/978-3-030-31038-7_5,Jim WoodcockAna CavalcantiSimon FosterAlexandre MotaKangfeng Ye,2019,https://link.springer.com/chapter/10.1007/978-3-030-31038-7_5,Conference paper
The Next 7000 Programming Languages,Computing and Software Science,,,,10.1007/978-3-319-91908-9_15,Robert ChatleyAlastair DonaldsonAlan Mycroft,2019,https://link.springer.com/chapter/10.1007/978-3-319-91908-9_15,Chapter
TeSSLa: Temporal Stream-Based Specification Language,Formal Methods: Foundations and Applications,,,,10.1007/978-3-030-03044-5_10,Lukas ConventSebastian HungereckerMartin LeuckerTorben ScheffelMalte SchmitzDaniel Thoma,2018,https://link.springer.com/chapter/10.1007/978-3-030-03044-5_10,Conference paper
Specifications and Modeling,Embedded System Design,,,,10.1007/978-3-319-56045-8_2,Peter Marwedel,2018,https://link.springer.com/chapter/10.1007/978-3-319-56045-8_2,Chapter
Methods and Tools for Mapping Process Networks onto Multi-Processor Systems-On-Chip,Handbook of Signal Processing Systems,,,,10.1007/978-3-319-91734-4_19,Iuliana BacivarovWolfgang HaidKai HuangLothar Thiele,2019,https://link.springer.com/chapter/10.1007/978-3-319-91734-4_19,Chapter
Task scheduling using Ant Colony Optimization in multicore architectures: a survey,Soft Computing,,,,10.1007/s00500-018-3260-4,G. Umarani SrikanthR. Geetha,2018,https://link.springer.com/article/10.1007/s00500-018-3260-4,Article
A verification framework for spatio-temporal consistency language with CCSL as a specification language,Frontiers of Computer Science,,,,10.1007/s11704-018-7054-8,Yuanrui ZhangFrédéric MalletYixiang Chen,2018,https://link.springer.com/article/10.1007/s11704-018-7054-8,Article
"Modular Code Generation from Synchronous Block Diagrams: Interfaces, Abstraction, Compositionality",Principles of Modeling,,,,10.1007/978-3-319-95246-8_26,Stavros TripakisRoberto Lublinerman,2018,https://link.springer.com/chapter/10.1007/978-3-319-95246-8_26,Chapter
Guest Editorial: Real-Time and Embedded Systems,Journal of Signal Processing Systems,,,,10.1007/s11265-016-1132-7,Kaijie WuZili Shao,2016,https://link.springer.com/article/10.1007/s11265-016-1132-7,Article
Reflective Internet of Things Middleware-Enabled a Predictive Real-Time Waste Monitoring System,Web Engineering,,,,10.1007/978-3-319-91662-0_31,Vito BelliniTommaso Di NoiaMarina MongielloFrancesco NoceraAngelo ParchitelliEugenio Di Sciascio,2018,https://link.springer.com/chapter/10.1007/978-3-319-91662-0_31,Conference paper
Stream Processing Languages and Abstractions,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-63962-8_260-1,Martin HirzelGuillaume Baudart,2018,https://link.springer.com/rwe/10.1007/978-3-319-63962-8_260-1,Living reference work entry
A formal approach to AADL model-based software engineering,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-019-00513-7,Hana MkaouarBechir ZalilaJérôme HuguesMohamed Jmaiel,2019,https://link.springer.com/article/10.1007/s10009-019-00513-7,Article
A Process Network Model for Reactive Streaming Software with Deterministic Task Parallelism,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-319-89363-1_6,Fotios GioulekasPeter PoplavkoPanagiotis KatsarosSaddek BensalemPedro Palomo,2018,https://link.springer.com/chapter/10.1007/978-3-319-89363-1_6,Conference paper
Designing Games in Ring,Beginning Ring Programming,,,,10.1007/978-1-4842-5833-0_8,Mansour Ayouni,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5833-0_8,Chapter
Modeling for Verification,Handbook of Model Checking,,,,10.1007/978-3-319-10575-8_3,Sanjit A. SeshiaNatasha SharyginaStavros Tripakis,2018,https://link.springer.com/chapter/10.1007/978-3-319-10575-8_3,Chapter
Enabling Flow Preservation and Portability in Multicore Implementations of Simulink Models,Principles of Modeling,,,,10.1007/978-3-319-95246-8_12,Caroline BrandbergMarco Di Natale,2018,https://link.springer.com/chapter/10.1007/978-3-319-95246-8_12,Chapter
On the Road to Conviction: An Email Exchange with Edward Lee,Principles of Modeling,,,,10.1007/978-3-319-95246-8_29,Reinhard Wilhelm,2018,https://link.springer.com/chapter/10.1007/978-3-319-95246-8_29,Chapter
CREST - A DSL for Reactive Cyber-Physical Systems,"System Analysis and Modeling. Languages, Methods, and Tools for Systems Engineering",,,,10.1007/978-3-030-01042-3_3,Stefan KlikovitsAlban LinardDidier Buchs,2018,https://link.springer.com/chapter/10.1007/978-3-030-01042-3_3,Conference paper
Model experiments on the early detection and rudder stabilization of KCS parametric roll in head waves,Journal of Marine Science and Technology,,,,10.1007/s00773-017-0463-9,Liwei YuKo TaguchiAkagi KentaNing MaYoshiaki Hirakawa,2017,https://link.springer.com/article/10.1007/s00773-017-0463-9,Article
Umsetzung,Ganzheitliche Digitalisierung von Prozessen,,,,10.1007/978-3-658-22648-0_6,Albert FleischmannStefan OpplWerner SchmidtChristian Stary,2018,https://link.springer.com/chapter/10.1007/978-3-658-22648-0_6,Chapter
A Shallow Embedded Type Safe Extendable DSL for the Arduino,Trends in Functional Programming,,,,10.1007/978-3-319-39110-6_6,Pieter KoopmanRinus Plasmeijer,2016,https://link.springer.com/chapter/10.1007/978-3-319-39110-6_6,Conference paper
Deterministic Concurrency: A Clock-Synchronised Shared Memory Approach,Programming Languages and Systems,,,,10.1007/978-3-319-89884-1_4,Joaquín AguadoMichael MendlerMarc PouzetPartha RoopReinhard von Hanxleden,2018,https://link.springer.com/chapter/10.1007/978-3-319-89884-1_4,Conference paper
MARTE for CPS and CPSoS,Cyber-Physical System Design from an Architecture Analysis Viewpoint,,,,10.1007/978-981-10-4436-6_4,Frédéric MalletEugenio VillarFernando Herrera,2017,https://link.springer.com/chapter/10.1007/978-981-10-4436-6_4,Chapter
IoT6Sec: reliability model for Internet of Things security focused on anomalous measurements identification with energy analysis,Wireless Networks,,,,10.1007/s11276-017-1610-2,Norisvaldo Ferraz JuniorAnderson SilvaAdilson GuelfiSergio Takeo Kofuji,2017,https://link.springer.com/article/10.1007/s11276-017-1610-2,Article
Integrated formal verification of safety-critical software,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-017-0475-0,Ning GeEric JennNicolas BretonYoann Fonteneau,2017,https://link.springer.com/article/10.1007/s10009-017-0475-0,Article
Quartz: A Synchronous Language for Model-Based Design of Reactive Embedded Systems,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7358-4_3-1,Klaus SchneiderJens Brandt,2016,https://link.springer.com/rwe/10.1007/978-94-017-7358-4_3-1,Living reference work entry
Feedback Control as MAPE-K Loop in Autonomic Computing,Software Engineering for Self-Adaptive Systems III. Assurances,,,,10.1007/978-3-319-74183-3_12,Eric RuttenNicolas MarchandDaniel Simon,2017,https://link.springer.com/chapter/10.1007/978-3-319-74183-3_12,Conference paper
Patmos: a time-predictable microprocessor,Real-Time Systems,,,,10.1007/s11241-018-9300-4,Martin SchoeberlWolfgang PuffitschStefan HeppBenedikt HuberDaniel Prokesch,2018,https://link.springer.com/article/10.1007/s11241-018-9300-4,Article
ForSyDe: System Design Using a Functional Language and Models of Computation,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7267-9_5,Ingo SanderAxel JantschSeyed-Hosein Attarzadeh-Niaki,2017,https://link.springer.com/rwe/10.1007/978-94-017-7267-9_5,Reference work entry
Formally Unifying Modeling and Design for Embedded Systems - A Personal View,"Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications",,,,10.1007/978-3-319-47169-3_11,G. Berry,2016,https://link.springer.com/chapter/10.1007/978-3-319-47169-3_11,Conference paper
Serverless Computing: Current Trends and Open Problems,Research Advances in Cloud Computing,,,,10.1007/978-981-10-5026-8_1,Ioana BaldiniPaul CastroKerry ChangPerry ChengStephen FinkVatche IshakianNick MitchellVinod MuthusamyRodric RabbahAleksander SlominskiPhilippe Suter,2017,https://link.springer.com/chapter/10.1007/978-981-10-5026-8_1,Chapter
MARTE/pCCSL: Modeling and Refining Stochastic Behaviors of CPSs with Probabilistic Logical Clocks,Formal Aspects of Component Software,,,,10.1007/978-3-319-57666-4_8,Dehui DuPing HuangKaiqiang JiangFrédéric MalletMingrui Yang,2017,https://link.springer.com/chapter/10.1007/978-3-319-57666-4_8,Conference paper
Rapidly Adjustable Non-intrusive Online Monitoring for Multi-core Systems,Formal Methods: Foundations and Applications,,,,10.1007/978-3-319-70848-5_12,Normann DeckerPhilip GottschlingChristian HochbergerMartin LeuckerTorben ScheffelMalte SchmitzAlexander Weiss,2017,https://link.springer.com/chapter/10.1007/978-3-319-70848-5_12,Conference paper
Twenty Years of Coordination Technologies: State-of-the-Art and Perspectives,Coordination Models and Languages,,,,10.1007/978-3-319-92408-3_3,Giovanni CiattoStefano MarianiMaxime LouvelAndrea OmiciniFranco Zambonelli,2018,https://link.springer.com/chapter/10.1007/978-3-319-92408-3_3,Conference paper
Mechanism Design of Human-Like HRP-4C,Humanoid Robotics: A Reference,,,,10.1007/978-94-007-7194-9_92-1,Shuuji Kajita,2017,https://link.springer.com/rwe/10.1007/978-94-007-7194-9_92-1,Living reference work entry
A survey on formal specification and verification of separation kernels,Frontiers of Computer Science,,,,10.1007/s11704-016-4226-2,Yongwang ZhaoZhibin YangDianfu Ma,2017,https://link.springer.com/article/10.1007/s11704-016-4226-2,Article
Incremental bounded model checking for embedded software,Formal Aspects of Computing,,,,10.1007/s00165-017-0419-1,Peter SchrammelDaniel KroeningMartin BrainRuben MartinsTino TeigeTom Bienmüller,2017,https://link.springer.com/article/10.1007/s00165-017-0419-1,Article
Introduction to Model Checking,Handbook of Model Checking,,,,10.1007/978-3-319-10575-8_1,Edmund M. ClarkeThomas A. HenzingerHelmut Veith,2018,https://link.springer.com/chapter/10.1007/978-3-319-10575-8_1,Chapter
Runtime Verification for Decentralised and Distributed Systems,Lectures on Runtime Verification,,,,10.1007/978-3-319-75632-5_6,Adrian FrancalanzaJorge A. PérezCésar Sánchez,2018,https://link.springer.com/chapter/10.1007/978-3-319-75632-5_6,Chapter
Formal modelling and verification of GALS systems using GRL and CADP,Formal Aspects of Computing,,,,10.1007/s00165-016-0373-3,Fatma JebaliFrédéric LangRadu Mateescu,2016,https://link.springer.com/article/10.1007/s00165-016-0373-3,Article
A Simulation Approach for SIGNAL Time Model Concern on Multi-clock System,Software Engineering and Methodology for Emerging Domains,,,,10.1007/978-981-10-3482-4_3,Zi WangGuoHua ShenZhiQiu HuangJia SiCheng Pan,2016,https://link.springer.com/chapter/10.1007/978-981-10-3482-4_3,Conference paper
Programming Microcontrollers in OCaml: The OCaPIC Project,Practical Aspects of Declarative Languages,,,,10.1007/978-3-319-19686-2_10,Benoît VaugonPhilippe WangEmmanuel Chailloux,2015,https://link.springer.com/chapter/10.1007/978-3-319-19686-2_10,Conference paper
Towards a verified compiler prototype for the synchronous language SIGNAL,Frontiers of Computer Science,,,,10.1007/s11704-015-4364-y,Zhibin YangJean-Paul BodeveixMamoun FilaliKai HuYongwang ZhaoDianfu Ma,2015,https://link.springer.com/article/10.1007/s11704-015-4364-y,Article
Instant-Based and State-Based Analysis of Infinite Logical Clock,Structured Object-Oriented Formal Language and Method,,,,10.1007/978-3-319-57708-1_3,Qingguo XuHuaikou MiaoRobert de SimoneJulien DeAntoni,2017,https://link.springer.com/chapter/10.1007/978-3-319-57708-1_3,Conference paper
Introduction to Embedded Computing Systems,Guide to Computing Fundamentals in Cyber-Physical Systems,,,,10.1007/978-3-319-25178-3_2,Dietmar P. F. Möller,2016,https://link.springer.com/chapter/10.1007/978-3-319-25178-3_2,Chapter
Cloud workflow scheduling with hybrid resource provisioning,The Journal of Supercomputing,,,,10.1007/s11227-017-2043-5,Long ChenXiaoping Li,2017,https://link.springer.com/article/10.1007/s11227-017-2043-5,Article
SysteMoC: A Data-Flow Programming Language for Codesign,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7358-4_4-2,Joachim FalkChristian HaubeltJürgen TeichChristian Zebelein,2017,https://link.springer.com/rwe/10.1007/978-94-017-7358-4_4-2,Living reference work entry
SysteMoC: A Data-Flow Programming Language for Codesign,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7267-9_4,Joachim FalkChristian HaubeltJürgen TeichChristian Zebelein,2017,https://link.springer.com/rwe/10.1007/978-94-017-7267-9_4,Reference work entry
Real-Time Machine-Vision-System for an Automated Quality Monitoring in Mass Production of Multiaxial Non-crimp Fabrics,"Automation, Communication and Cybernetics in Science and Engineering 2015/2016",,,,10.1007/978-3-319-42620-4_59,Robert SchmittTobias FürtjesBahoz AbbasPhilipp AbelWalter KimmelmannPhilipp KosseAndrea Buratti,2016,https://link.springer.com/chapter/10.1007/978-3-319-42620-4_59,Chapter
Hardware Support for Adaptive Task Scheduler in RTOS,Intelligent Systems Technologies and Applications,,,,10.1007/978-3-319-23036-8_20,Dinesh G. HarkutM. S. Ali,2016,https://link.springer.com/chapter/10.1007/978-3-319-23036-8_20,Conference paper
ClojureScript,Reactive with ClojureScript Recipes,,,,10.1007/978-1-4842-3009-1_2,Nicolas Modrzyk,2017,https://link.springer.com/chapter/10.1007/978-1-4842-3009-1_2,Chapter
Acumen: An Open-Source Testbed for Cyber-Physical Systems Research,Internet of Things. IoT Infrastructures,,,,10.1007/978-3-319-47063-4_11,Walid TahaAdam DuraczYingfu ZengKevin AtkinsonFerenc A. BarthaPaul BraunerJan DuraczFei XuRobert CartwrightMichal KonečnýEugenio MoggiJawad MasoodPererik AndreassonJun InoueAnita Sant’AnnaRoland PhilippsenAlexandre ChapoutotMarcia O’MalleyAaron AmesVeronica GaspesLise HvatumShyam MehtaHenrik ErikssonChristian Grante,2016,https://link.springer.com/chapter/10.1007/978-3-319-47063-4_11,Conference paper
Posting Graphs for Finding Non-Terminating Executions in Asynchronous Programs,Computational Science and Its Applications – ICCSA 2017,,,,10.1007/978-3-319-62407-5_16,Mohamed A. El-Zawawy,2017,https://link.springer.com/chapter/10.1007/978-3-319-62407-5_16,Conference paper
Introduction to Synchronous Programming Using Esterel,Model-Driven Design Using IEC 61499,,,,10.1007/978-3-319-10521-5_3,Li Hsien YoongPartha S. RoopZeeshan E. BhattiMatthew M. Y. Kuo,2015,https://link.springer.com/chapter/10.1007/978-3-319-10521-5_3,Chapter
Coordination of Dynamic Software Components with JavaBIP,Formal Aspects of Component Software,,,,10.1007/978-3-319-68034-7_3,Anastasia MavridouValentin RutzSimon Bliudze,2017,https://link.springer.com/chapter/10.1007/978-3-319-68034-7_3,Conference paper
Impact of Hardware/Software Partitioning and MicroBlaze FPGA Configurations on the Embedded Systems Performances,Complex System Modelling and Control Through Intelligent Soft Computations,,,,10.1007/978-3-319-12883-2_25,Imène MhadhbiNabil LitayemSlim Ben OthmanSlim Ben Saoud,2015,https://link.springer.com/chapter/10.1007/978-3-319-12883-2_25,Chapter
Computer Music Languages and Systems: The Synergy Between Technology and Creativity,Handbook of Digital Games and Entertainment Technologies,,,,10.1007/978-981-4560-50-4_19,Hiroki NishinoRyohei Nakatsu,2017,https://link.springer.com/rwe/10.1007/978-981-4560-50-4_19,Reference work entry
ForSyDe: System Design Using a Functional Language and Models of Computation,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7358-4_5-1,Ingo SanderAxel JantschSeyed-Hosein Attarzadeh-Niaki,2016,https://link.springer.com/rwe/10.1007/978-94-017-7358-4_5-1,Living reference work entry
Formal Verification of a Rover Anti-collision System,Critical Systems: Formal Methods and Automated Verification,,,,10.1007/978-3-319-45943-1_12,Ning GeEric JennNicolas BretonYoann Fonteneau,2016,https://link.springer.com/chapter/10.1007/978-3-319-45943-1_12,Conference paper
Sound Simulation and Co-simulation for Robotics,Present and Ulterior Software Engineering,,,,10.1007/978-3-319-67425-4_11,Ana CavalcantiAlvaro MiyazawaRichard PayneJim Woodcock,2017,https://link.springer.com/chapter/10.1007/978-3-319-67425-4_11,Chapter
Exploring the Platform for Expressing SystemVerilog Assertions in Model Based System Engineering,Information Science and Applications (ICISA) 2016,,,,10.1007/978-981-10-0557-2_53,Muhammad RashidMuhammad Waseem AnwarFarooque AzamMuhammad Kashif,2016,https://link.springer.com/chapter/10.1007/978-981-10-0557-2_53,Conference paper
Road to a reactive and incremental model transformation platform: three generations of the VIATRA framework,Software & Systems Modeling,,,,10.1007/s10270-016-0530-4,Dániel VarróGábor BergmannÁbel HegedüsÁkos HorváthIstván RáthZoltán Ujhelyi,2016,https://link.springer.com/article/10.1007/s10270-016-0530-4,Article
Introduction,Distributed Embedded Controller Development with Petri Nets,,,,10.1007/978-3-319-20822-0_1,Filipe MoutinhoLuís Gomes,2016,https://link.springer.com/chapter/10.1007/978-3-319-20822-0_1,Chapter
Hybrid Lustre,Perspectives of System Informatics,,,,10.1007/978-3-319-41579-6_25,Zhenghen YuanTingliang ZhouJing LiuJuan LuoYi ZhangXiaohong Chen,2016,https://link.springer.com/chapter/10.1007/978-3-319-41579-6_25,Conference paper
Data Age Diminution in the Logical Execution Time Model,Architecture of Computing Systems – ARCS 2016,,,,10.1007/978-3-319-30695-7_13,Christian BradatschFlorian KlugeTheo Ungerer,2016,https://link.springer.com/chapter/10.1007/978-3-319-30695-7_13,Conference paper
Incremental Queries and Transformations: From Concepts to Industrial Applications,SOFSEM 2016: Theory and Practice of Computer Science,,,,10.1007/978-3-662-49192-8_5,Dániel Varró,2016,https://link.springer.com/chapter/10.1007/978-3-662-49192-8_5,Conference paper
Introduction,Model-Driven Design Using IEC 61499,,,,10.1007/978-3-319-10521-5_1,Li Hsien YoongPartha S. RoopZeeshan E. BhattiMatthew M. Y. Kuo,2015,https://link.springer.com/chapter/10.1007/978-3-319-10521-5_1,Chapter
Moldable Tools for Object-Oriented Development,Present and Ulterior Software Engineering,,,,10.1007/978-3-319-67425-4_6,Andrei ChişTudor GîrbaJuraj KubelkaOscar NierstraszStefan ReichhartAliaksei Syrel,2017,https://link.springer.com/chapter/10.1007/978-3-319-67425-4_6,Chapter
A Model-based approach for the synthesis of software to firmware adapters for use with automatically generated components,Software & Systems Modeling,,,,10.1007/s10270-016-0534-0,Marco Di NataleDavid PerilloFrancesco ChiricoAndrea SindicoAlberto Sangiovanni-Vincentelli,2016,https://link.springer.com/article/10.1007/s10270-016-0534-0,Article
Towards a Unified View of Modeling and Programming (Track Summary),"Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications",,,,10.1007/978-3-319-47169-3_1,Manfred BroyKlaus HavelundRahul KumarBernhard Steffen,2016,https://link.springer.com/chapter/10.1007/978-3-319-47169-3_1,Conference paper
A survey on software defined networking and its applications,Frontiers of Computer Science,,,,10.1007/s11704-015-3448-z,Yili GongWei HuangWenjie WangYingchun Lei,2015,https://link.springer.com/article/10.1007/s11704-015-3448-z,Article
Models for the Consistent Interaction of Adaptations in Self-Adaptive Systems,Software Engineering for Self-Adaptive Systems III. Assurances,,,,10.1007/978-3-319-74183-3_11,Nicolás CardozoKim MensSiobhán Clarke,2017,https://link.springer.com/chapter/10.1007/978-3-319-74183-3_11,Conference paper
Design and Implementation of Dynamic Positioning Control System for USV,AETA 2015: Recent Advances in Electrical Engineering and Related Sciences,,,,10.1007/978-3-319-27247-4_53,Ngoc-Huy TranHyeung-Sik ChoiJi-Youn OhSang-Ki Jeong,2016,https://link.springer.com/chapter/10.1007/978-3-319-27247-4_53,Conference paper
Programmable Devices—Software and Hardware,Engineering Embedded Systems,,,,10.1007/978-3-319-10680-9_5,Peter Hintenaus,2015,https://link.springer.com/chapter/10.1007/978-3-319-10680-9_5,Chapter
"Cyber-Physical Systems: Opportunities, Challenges and (Some) Solutions",Management of Cyber Physical Objects in the Future Internet of Things,,,,10.1007/978-3-319-26869-9_1,Peter MarwedelMichael Engel,2016,https://link.springer.com/chapter/10.1007/978-3-319-26869-9_1,Chapter
Environment-Model Based Testing with&#xa0;Differential Evolution in an Industrial Setting,Applications of Evolutionary Computation,,,,10.1007/978-3-319-31204-0_52,Annamária SzenkovitsNoémi GaskóErwan Jahier,2016,https://link.springer.com/chapter/10.1007/978-3-319-31204-0_52,Conference paper
Rea: Workflows for Cyber-Physical Systems,Central European Functional Programming School,,,,10.1007/978-3-319-15940-9_14,Dávid JuhászLászló DomoszlaiBarnabás Králik,2015,https://link.springer.com/chapter/10.1007/978-3-319-15940-9_14,Chapter
Safe and Automatic Addition of Fault Tolerance for Smart Homes Dedicated to People with Disabilities,Trends in Ambient Intelligent Systems,,,,10.1007/978-3-319-30184-6_4,Sébastien GuilletBruno BouchardAbdenour Bouzouane,2016,https://link.springer.com/chapter/10.1007/978-3-319-30184-6_4,Chapter
Denotational fixed-point semantics for constructive scheduling of synchronous concurrency,Acta Informatica,,,,10.1007/s00236-015-0238-x,Joaquín AguadoMichael MendlerReinhard von HanxledenInsa Fuhrmann,2015,https://link.springer.com/article/10.1007/s00236-015-0238-x,Article
Multi-rate System Design Through Integrating Synchronous Components,Theoretical Aspects of Computing - ICTAC 2015,,,,10.1007/978-3-319-25150-9_27,Ke Sun,2015,https://link.springer.com/chapter/10.1007/978-3-319-25150-9_27,Conference paper
Towards Reactive Programming for Object-Oriented Applications,Transactions on Aspect-Oriented Software Development XI,,,,10.1007/978-3-642-55099-7_7,Guido SalvaneschiMira Mezini,2014,https://link.springer.com/chapter/10.1007/978-3-642-55099-7_7,Chapter
An Executable Semantics of Clock Constraint Specification Language and Its Applications,Formal Techniques for Safety-Critical Systems,,,,10.1007/978-3-319-29510-7_2,Min ZhangFrédéric Mallet,2016,https://link.springer.com/chapter/10.1007/978-3-319-29510-7_2,Conference paper
Divergence Detection for CCSL Specification via Clock Causality Chain,"Dependable Software Engineering: Theories, Tools, and Applications",,,,10.1007/978-3-319-47677-3_2,Qingguo XuRobert de SimoneJulien DeAntoni,2016,https://link.springer.com/chapter/10.1007/978-3-319-47677-3_2,Conference paper
IEC 61499 in a Nutshell,Model-Driven Design Using IEC 61499,,,,10.1007/978-3-319-10521-5_2,Li Hsien YoongPartha S. RoopZeeshan E. BhattiMatthew M. Y. Kuo,2015,https://link.springer.com/chapter/10.1007/978-3-319-10521-5_2,Chapter
Discrete Control-Based Design of Adaptive and Autonomic Computing Systems,Distributed Computing and Internet Technology,,,,10.1007/978-3-319-14977-6_6,Xin AnGwenaël DelavalJean-Philippe DiguetAbdoulaye GamatiéSoguy GueyeHervé MarchandNoël de PalmaEric Rutten,2015,https://link.springer.com/chapter/10.1007/978-3-319-14977-6_6,Conference paper
MARTE/CCSL for Modeling Cyber-Physical Systems,Formal Modeling and Verification of Cyber-Physical Systems,,,,10.1007/978-3-658-09994-7_2,Frédéric Mallet,2015,https://link.springer.com/chapter/10.1007/978-3-658-09994-7_2,Chapter
Light-weight Synchronous Java (SJL): An approach for programming deterministic reactive systems with Java,Computing,,,,10.1007/s00607-014-0416-7,Christian MotikaReinhard von Hanxleden,2014,https://link.springer.com/article/10.1007/s00607-014-0416-7,Article
Proper Protocol,Theory and Practice of Formal Methods,,,,10.1007/978-3-319-30734-3_7,Farhad Arbab,2016,https://link.springer.com/chapter/10.1007/978-3-319-30734-3_7,Chapter
